A2,A3,b2,b3,Pg,numax,sigmaEnv,Teff,[Fe/H],Phase,KIC,mass,rad
22737.0017732559,3622.26279389699,9.19486901718002,32.499644475417696,7160.525910124259,29.6822411245508,5.17892281394107,4751.0,-0.08,1.0,757137,1.55,13.26
19301.468235928,4907.254683921679,11.8098987266048,32.123772358421604,9163.73455583345,29.4105078834586,5.27856489638458,5188.0,-0.21,2.0,892760,1.0,10.52
12330.2718685519,1858.74173532043,12.0037326810531,42.3580729161552,3341.0574934377196,40.25453631699771,6.3074538720712106,4728.0,-0.15,1.0,893214,1.54,11.29
4938.01867642303,1027.38322340907,15.3910871210954,47.86743847493361,1462.2966686116501,45.871939348492795,8.208854341126441,5072.0,-0.12,2.0,1026084,1.75,11.83
23879.048501355497,5280.27214899255,10.090316455383,32.0973764382287,8043.019833001271,35.3645227816127,4.86713829067209,4718.0,-0.02,2.0,1026180,1.67,12.43
1920.6983969568107,477.324134085868,25.599372474653602,91.59773713402642,813.310343561282,95.66684462660841,9.6058634665436,5123.0,-0.41,1.0,1026326,1.3,6.7
11198.487475091899,2893.817055095449,11.067032025172301,35.262049525264004,4883.72616370657,34.1602444558236,5.478883615411121,5089.0,-0.11,2.0,1026452,1.58,12.27
3587.50922232701,904.5959078164633,20.9491850247738,68.8274618337494,1371.85652938607,75.05123840001251,10.0704194044101,4671.0,0.29,1.0,1027337,1.34,7.89
832.461097334088,192.081974838722,44.579027349533995,154.318458738043,427.666322908829,158.179309296286,13.008974086835,5039.0,-0.1,1.0,1027582,1.39,5.41
865.657416238542,368.730881716846,13.64111278083,88.7452218261197,720.7610230281059,104.197525487628,11.899152497314502,5242.0,-0.17,1.0,1028267,1.38,6.58
18896.0633524741,5588.6722300088,8.77099258691872,24.8864300973669,9705.15134248022,26.6576345981107,4.572060933895349,4128.0,-0.09,2.0,1160684,0.95,11.47
46485.692186345594,8382.360070703578,8.20384542399821,27.1158181660711,14773.9763808576,24.8454254769545,4.68307983009353,4724.0,-0.27,2.0,1160789,0.83,10.7
16075.5482963866,3327.1732749907396,10.8660512317596,36.171377907588,4900.25425835446,36.53938417725711,5.97657153013796,4793.0,0.07,2.0,1161447,1.41,11.52
22711.370699756,5829.042568820861,9.81863551462757,32.505232526020606,7434.421049951079,33.8868102499304,5.47403423740389,4747.0,0.08,2.0,1161618,1.2,10.92
160560.321863075,97070.5873499539,3.70340263592367,10.1524330693202,149954.976835303,11.253177615004196,1.67079680804034,4218.0,0.01,1.0,1162220,1.04,18.52
35383.0245297248,8983.717950098571,8.33338318586959,27.4891360169699,10508.7674325387,27.640978626261,4.64293259651669,4989.0,-0.56,2.0,1162746,1.01,11.07
131564.19498663698,16535.1961599014,5.40652899046897,17.143222485984,60174.0084605116,14.146218712645199,2.47959331453528,4311.0,0.26,1.0,1163114,1.44,18.99
42652.8875388898,7507.9523735129405,6.514022925166451,22.847245203477698,12593.4675485088,21.197671860386,3.70392248560601,4560.0,-0.37,1.0,1163359,1.41,15.13
12877.3482751092,2294.95475107744,12.418114347844998,41.5641329703311,3668.96898419452,40.3039610798601,6.69747112129061,5034.0,-0.16,2.0,1163453,1.62,11.54
4754.34865172286,1077.73815060209,15.922119376450699,50.9504253919205,1444.65733405387,50.0218871426933,8.54890272803145,4909.0,0.06,2.0,1163621,1.94,11.26
7569.37389567173,1923.0117029377304,15.2432678389715,52.7182467479941,3508.46465820273,57.4529979872948,6.032572508055768,5066.0,-0.13,1.0,1164301,1.41,8.96
43315.3453968092,10697.4043099711,7.49683088507936,26.126725152247506,16517.7560055877,28.542544940626893,4.05643047052094,4266.0,0.1,1.0,1164584,1.14,11.96
3004.70728687192,697.856154461281,24.243019679767297,97.06869575433541,1491.97793301137,88.5074577120528,7.9811380066682185,4213.0,-0.29,1.0,1292147,0.97,6.31
3155.83811988357,897.864206682666,20.029258764481398,67.2809425565576,812.4898818110429,76.08632023559579,9.384058709014761,4795.0,0.03,1.0,1294122,1.41,7.96
1580.29594170945,428.64548729703796,29.086547405549602,95.08640405490708,372.83957614153604,108.004211867297,12.354898827121401,4824.0,0.11,1.0,1294385,1.45,6.78
9372.66801801619,2110.91057175077,13.6733570730389,48.473938323972796,3829.3692683306203,48.8850235606647,6.08550905629675,4649.0,-0.37,1.0,1294578,1.0,8.37
11516.337558931698,2610.12367829636,11.5086625877451,36.5820643047824,3814.35139463795,35.9515188731274,6.01880626805478,5191.0,-0.11,2.0,1294924,1.46,11.44
26802.4969117126,5069.99614844549,10.0940102152509,31.4326494982322,12367.5041504385,28.5331749918318,5.53341058408762,4942.0,0.12,2.0,1295017,0.79,9.83
13433.8631407364,3298.3298375299896,11.609573986614599,37.04279897172661,3970.860344809721,38.8698019725135,6.469872910011821,4897.0,-0.08,2.0,1295475,1.72,12.0
7937.7739282789,1732.07069417668,14.8697449868984,54.4411460257191,2387.4114884713604,59.8078354362279,8.02752323024956,4609.0,0.07,1.0,1296068,1.07,7.88
7371.4414075756495,1784.73990420498,12.569452810543,40.9952938020154,2613.5942992613896,41.0088126194646,6.1464225359513485,5250.0,-0.13,2.0,1296179,1.75,11.66
1475.52053459102,635.945331921802,3.1301745772104703,44.554587933659604,133.67815152928998,117.367808785231,28.0863060956326,4934.0,0.04,1.0,1296507,1.53,6.35
20174.3078225243,1756.88946430017,12.1492654096032,44.092109316969,8560.50204364613,31.212764635300797,6.15248504487203,4825.0,-0.35,2.0,1297272,0.86,9.56
7703.277309333979,1911.7378822908304,14.693378255286401,50.86255968424421,3163.1469020127,55.7714843974337,6.896040763703541,4685.0,-0.03,1.0,1429505,1.18,8.5
7243.14434194793,2030.68891498814,15.671254983071899,62.8669541453733,2865.4794497665803,63.223179228281495,6.57119853168661,4261.0,-0.46,1.0,1429629,1.02,7.62
758.424692907602,187.810630565911,42.4164155339866,169.605003777068,385.078088442668,161.07180000461702,12.1479769340645,5070.0,-0.14,1.0,1430118,1.23,5.03
18110.4408699052,3142.80664367698,12.159216776888199,35.2814230518767,8405.802177309959,31.21472522285,5.3068951928295,4968.0,-0.01,2.0,1430912,1.35,11.76
1091.76618129584,236.2278631922,33.4123862559795,122.318040733212,337.264289528054,122.642603819018,10.9367623570733,4964.0,-0.33,1.0,1430985,1.25,5.88
727.350850725301,165.510354043389,44.4164636046855,204.913826014959,388.336252380347,172.179039238916,10.9010779653263,4829.0,0.15,1.0,1431059,1.19,4.85
10138.0709597958,1780.43161415427,13.0205345641985,41.2880585181376,3542.08039074925,37.233838333219104,6.5512573717967415,5092.0,-0.1,2.0,1431316,1.43,11.23
389565.925087515,214938.159467903,3.67278665070703,5.32088114357697,417620.017058314,5.783566929109651,1.0709891339891,4443.0,-0.23,1.0,1432587,0.76,22.3
478.7115927375849,110.168838269037,47.940598575411606,230.822698297612,188.215602547676,177.045514902318,15.1341899979146,5293.0,-0.07,1.0,1432825,1.64,5.47
17566.259145641798,3344.56924676368,11.316010172391401,38.413012748803894,5359.058487154621,39.6570626420061,6.501794697368809,4689.0,0.37,1.0,1433132,1.25,10.51
2499.80090206251,634.871371264629,19.346059409247104,62.4370287752199,534.599206998452,68.4120572075279,10.5060639440778,4956.0,0.11,1.0,1433593,1.9,9.56
10629.1406179796,2265.81276342111,11.4203892707336,38.81063455055239,2238.94285513373,40.2175723774878,6.46659757853451,4767.0,-0.06,1.0,1433730,1.84,12.45
94746.6445021828,753.520169491824,0.5002650246494079,65.9144332730927,391.134516348808,149.858875549424,21.0155105233057,4760.0,0.28,1.0,1433803,1.24,5.29
35353.1595063349,11151.474077588999,7.75162776697376,25.1462787462338,9782.149971944327,25.5494403178863,4.05150000532411,5072.0,-0.13,2.0,1434395,0.76,10.14
45061.39092238489,5493.62854591032,9.81564914695807,31.7791560598277,16136.3336082391,26.040385778422106,4.912182013888111,4821.0,0.1,2.0,1435573,0.84,10.52
9983.247228403628,1721.71558107587,13.053591818480502,45.4992607302314,2169.62557012181,43.8965563994699,11.551492724441399,4679.0,-0.32,2.0,1569823,0.8,7.91
1083.82717633684,296.109687094877,34.9238915150082,120.784299829258,611.727554171673,135.951814277661,11.530392644422701,4808.0,-0.26,1.0,1569842,1.0,5.01
4599.57248619872,1216.50703124401,15.07821848583,47.202267100090396,1341.86966434513,48.934375287201604,7.96999815729174,4912.0,0.26,2.0,1571780,2.7,13.59
692259.296145385,1298.45570690724,1.37825243703969,45.309392815986,488.121598824085,57.315739458186904,8.17812678014647,4789.0,-0.57,2.0,1572049,1.58,10.19
5395.9468357202,1551.2162626916102,15.4424950399995,50.1110557574071,1622.28110745272,55.3838851282195,7.5207389213331295,4789.0,-0.04,1.0,1572175,1.66,10.03
113.961051522966,29.419721098146,54.008358781245796,227.37493791538398,45.3165077932376,199.834086421091,15.7862687937867,5333.0,-0.31,1.0,1572317,1.69,5.26
972.73850637598,186.88993223587,42.3828245326488,127.41636062850701,443.338804467649,126.752265526796,11.1278983640132,5143.0,-0.12,1.0,1573925,1.36,5.99
1050.1762349072,219.20736448351502,30.3919659252606,96.2766282648932,266.114303564171,99.91013058913548,15.086230358865599,5016.0,0.0,2.0,1575886,2.27,8.64
600870.65772613,379864.47848879604,2.76586812912207,4.64220647649242,658213.679102627,5.47032325526451,0.936366823103008,4133.0,0.03,1.0,1576043,1.28,29.29
10791.4736353549,3135.3908065503,13.3238394798594,39.795784053728106,4171.9090671657505,44.729638316182296,6.46634077265894,4594.0,-0.37,1.0,1576420,1.1,9.26
1351.46127588593,292.805283519708,26.9941740298204,87.0385924176688,417.394354226746,89.2995182817801,14.4425674809014,5217.0,0.12,2.0,1576469,2.46,9.4
2794.4851397139,640.889163721091,22.526908809179503,79.29792090753641,971.100468158411,85.2347668085686,9.84930796241578,4814.0,-0.07,1.0,1576646,1.38,7.44
10306.2379348177,2814.19214107248,10.095485255360401,34.954260419046506,3153.51552709079,36.8828980175146,5.2639840424538615,4987.0,-0.13,2.0,1577143,1.84,13.22
24682.740191252906,5908.98609594649,8.67119503177681,28.0821076672246,8872.46505607991,28.774202114348107,4.12647836747874,4800.0,-0.28,2.0,1701763,1.32,12.36
851.0508872212041,215.029512488165,30.401797987885494,109.9557524525,171.552946376893,122.62641870302299,12.4230631734428,4876.0,0.08,1.0,1717618,1.66,6.81
22966.5340170987,6828.75328888798,8.71449480057149,30.3369829650207,6538.43850911011,31.9151324724144,5.29704447435405,4971.0,0.08,2.0,1717783,1.36,11.44
20764.7178387739,4418.435211283339,10.0935609537599,34.345033894098,7794.799141836709,31.4642246405418,5.26213072767172,4875.0,-0.44,2.0,1717994,0.94,10.0
16370.8317006904,4886.27473585207,10.294512432366199,30.953833097121606,7748.46178455352,28.991537662516603,4.406358658083558,4882.0,-0.63,2.0,1718743,0.91,10.17
260135.30162911105,161090.75738383198,3.23875531790483,6.804778793005591,221983.74803328802,7.43665118855335,1.30809728752266,4318.0,-0.05,1.0,1719297,1.34,25.71
752.4473383083771,190.25876572799305,36.8269087811964,132.459883341518,334.592093942906,136.875145661169,12.2225848139392,4923.0,-0.19,1.0,1719422,1.29,5.62
670929.0242494979,13353.9265281277,0.855386039004409,23.307144631262695,9019.52386779619,29.1854631124161,3.9452528305469103,4758.0,-0.2,2.0,1720425,0.95,10.73
19517.5567779005,2801.1279759627696,11.8851845727185,36.2764283593353,4950.04561577917,32.7214080875817,6.07750085402595,4982.0,-0.01,2.0,1721071,1.15,11.26
857.552003268329,175.51795698488098,44.407090623918506,168.434113033244,436.4366718856469,155.953412623895,10.9058697869783,4971.0,-0.53,1.0,1721595,1.06,4.75
495.295165717909,111.87681402345801,38.3997942100426,140.15240111773198,88.9156243473019,144.964854626119,13.3957100978592,4977.0,-0.08,1.0,1723047,1.48,5.88
30225.8519673699,4893.81763155474,8.839209467982949,32.9657124745336,7130.480201130859,30.5967336756493,6.72937765846131,4764.0,0.17,2.0,1723656,1.13,11.14
10565.3176101756,1312.39723896801,13.495397020202901,47.0744291607403,3864.620602245471,38.7985850889624,7.6955972895280595,4970.0,-0.2,2.0,1723700,1.44,10.93
389.879350385627,85.58297163538421,53.77798272958779,231.70883047696202,154.348377738821,198.023058948018,14.700436303218696,4963.0,-0.08,1.0,1723752,1.3,4.7
1156.49416883795,218.832529698186,31.257022027201906,117.773199137586,409.66156538068003,111.537576459891,11.7126014068558,4908.0,-0.2,1.0,1723843,1.33,6.42
8281.24173976512,2483.77233113547,10.942282236013696,40.681140065632,2436.1681814619,44.7524607205264,6.73370988616314,5041.0,0.18,2.0,1725183,2.59,13.49
983.0029536845799,233.59879576977798,28.3183761121478,92.887555848901,274.923505253577,99.11512723077793,14.3951351163273,5054.0,0.0,2.0,1725190,2.37,8.92
174637.707306403,104049.084411361,3.1451641648836297,7.25074512334567,117458.67599100301,8.0344447427592,1.5485193947672,4234.0,0.14,1.0,1725552,2.16,29.58
23371.9068858256,5899.301561548929,9.80403460128486,33.0346566407596,7742.496589203879,33.355420204758204,6.0355884319802,4678.0,0.46,2.0,1725626,1.14,10.83
8959.5900231835,1138.65630171571,13.9615918263625,48.1732744391799,2904.1316084202504,41.0785354702676,6.49520406837197,5008.0,-0.12,2.0,1725796,1.55,11.13
30719.9365695719,5656.0132444108995,8.9209439948486,31.890949982034,9153.67499104133,33.1418424284531,5.41789684386248,4697.0,0.15,2.0,1725952,1.32,11.67
16129.4365846537,3833.63825548149,9.486470291229,32.293069512297,4678.511208131379,30.8437272359795,4.78489801161611,4995.0,-0.72,2.0,1726211,1.44,12.47
6778.74823403571,910.18202647557,16.707045571839302,54.0396066302091,1606.50137530816,48.35176473205711,8.57867414618879,4836.0,0.2,2.0,1726245,1.54,10.59
852.4219398605928,202.665831538317,39.93365394464811,148.942795764631,479.5289055509449,150.471008559505,11.457399216076,4815.0,-0.31,1.0,1726291,0.95,4.65
629.349571620787,158.06774619385402,45.3840224154809,179.89412902147203,328.89327903706004,164.587674236364,12.3672514658813,4983.0,-0.16,1.0,1849462,1.28,5.08
9239.03235938515,2102.5303782737697,14.052076434261,46.02606816041561,4202.12963747252,45.903111198613395,5.87192195270203,4945.0,-0.69,1.0,1849679,1.08,8.87
8997.61726983437,1494.1497710838098,17.3344936201219,60.3952750301228,2886.34922642523,50.613216273736704,7.8275998986586,4762.0,0.14,2.0,1850285,2.16,11.61
8161.96260296183,1925.79454858524,15.2136342357008,49.9718955079177,2902.0160445974707,54.9091688627697,7.84496184732758,4632.0,0.2,1.0,1864183,1.27,9.02
1059.56186264664,240.35264558967398,33.477188197276,114.303719741628,213.495239307977,127.278266134559,14.4194968922912,5083.0,-0.05,1.0,1864855,1.51,6.32
