KIC,Huber_Teff,Huber_e_Teff,Huber_logg,Huber_e_logg,Huber_MH,Huber_e_MH,TESS_Teff,TESS_e_Teff,TESS_logg,TESS_e_logg,TESS_MH,TESS_e_MH
9726463,5282,165,3.668,0.4,0.027,0.027,5049.53,278.98,nan,nan,-0.16,0.259
9519686,5226,182,4.567,0.4,-0.518,-0.518,5082.83,286.33,nan,nan,-0.503,0.27
10978872,5015,175,2.656,0.03,0.21,0.21,4806.38,76.7964,nan,nan,-0.758575,0.0104128
8056914,4891,138,3.795,0.4,-0.198,-0.198,4822.44,142.514,4.48547,0.104429,-0.0285,0.0233345
6370539,4211,147,1.938,0.4,0.14,0.14,4289.0,122.0,nan,nan,nan,nan
11018710,4841,142,2.638,0.03,0.073,0.073,4616.44,66.6892,nan,nan,0.159271,0.00735716
9450067,6069,169,4.67,0.4,-0.241,-0.241,5803.0,122.0,4.39015,nan,nan,nan
4995049,8165,285,3.856,0.4,-0.135,-0.135,8296.0,154.053,4.21425,0.0725347,nan,nan
8380857,5131,145,4.05,0.4,-0.036,-0.036,5206.84,109.077,nan,nan,0.2265,0.0134546
6026326,4980,147,3.509,0.4,-0.408,-0.408,4809.0,122.0,nan,nan,nan,nan
10132973,3375,118,5.077,0.4,-0.42,-0.42,nan,nan,nan,nan,nan,nan
9149863,6461,226,4.341,0.4,-0.412,-0.412,6126.0,122.0,3.96356,nan,nan,nan
7629731,5757,161,4.785,0.4,-0.333,-0.333,6060.97,79.77,3.78892,nan,0.126,0.077
5564178,6062,176,4.447,0.4,-0.199,-0.199,6092.0,122.0,4.09284,nan,nan,nan
4488840,7349,257,3.538,0.4,0.014,0.014,7273.48,103.283,3.95392,0.0830534,0.0534938,0.00855047
5734702,6626,185,4.405,0.4,-0.344,-0.344,6745.95,151.862,3.94867,0.0992903,-0.206,0.011
8825017,5212,158,4.699,0.4,-0.061,-0.061,5080.0,129.0,4.47215,nan,nan,nan
5369506,6159,208,4.621,0.4,-0.135,-0.135,5593.0,123.0,3.98528,nan,nan,nan
9455994,6082,168,4.621,0.4,-0.251,-0.251,nan,nan,nan,nan,nan,nan
7877962,5698,161,4.97,0.4,0.044,0.044,5493.0,122.0,3.94395,nan,nan,nan
9903054,6285,182,4.485,0.4,-0.155,-0.155,6237.67,45.72,3.92899,nan,-0.178,0.044
